episode,timestep,reward
2,800,-743917.8647
5,1600,-625250.4211
8,2400,-1283702.0878
10,3200,827910.665
17,4000,2449983.7919
21,4800,2397066.603
29,5600,-564166.8295
39,6400,2624465.8291
46,7200,-1842259.488
53,8000,-721049.7201
63,8800,38857.5241
74,9600,-1886584.5108
90,10400,1638513.1824
105,11200,1153970.0764
120,12000,2165017.1325
135,12800,1960750.2561
154,13600,-158075.4046
174,14400,150089.9705
197,15200,772338.5251
220,16000,1305211.0206
244,16800,-2480019.8995
270,17600,2702796.792
296,18400,2725989.0284
323,19200,-2038774.2096
355,20000,-2133792.2448
382,20800,-2614448.9366
414,21600,2287223.5911
446,22400,2481030.9141
481,23200,-1783686.9072
516,24000,-2000660.3163
555,24800,-1395959.4034
594,25600,-1234301.1156
637,26400,-913124.4742
679,27200,-839329.7784
725,28000,-591675.8979
771,28800,-501954.4085
814,29600,-1471976.2285
857,30400,-1463915.1717
905,31200,-853871.8019
953,32000,-904423.2979
1002,32800,-266492.9028
1052,33600,-268132.78
1101,34400,-785738.6858
1147,35200,-1033422.1061
1198,36000,-566156.267
1249,36800,-715671.4072
1258,37600,2646522.3451
1262,38400,794045.6746
1279,39200,-1474184.5109
1296,40000,-2071858.5696
1324,40800,-1461228.5052
1353,41600,-1339908.1271
1386,42400,-917941.3859
1419,43200,-1146127.7223
1456,44000,-917805.6828
1497,44800,-1232039.7866
1541,45600,-1072892.3082
